Prompt;Number of statements;Parameters
"Input text:
Textual context: With axle 1 load at 5368.5 kg, axle 3 must have more than 5368.5 kg.
Given axle 3 load is 5372.0 kg, axle 1 load must be below 5372.0 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";2;[['axle 1 load', 'axle 3 load'], ['axle 3 load', 'axle 1 load']]
"Input text:
Textual context: With a total operation time of 5.2 hours, the vehicle must have used at least 45.8 dm³ of fuel.
With axle 2 supporting 8160.8 kg, the payload must be less than 8160.8 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";2;[['total operation time', 'total fuel consumption'], ['axle 2 load', 'payload']]
"Input text:
Textual context: Operating for 5.4 hours means PTO time couldn't have surpassed 5.4 hours.
When PTO time is 1.5, idle time is 1.5, and driving time is 2.0, the total time can't be less than 5.1.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";2;[['total operation time', 'PTO operation time'], ['PTO operation time', 'idle time', 'driving time', 'total operation time']]
"Input text:
Textual context: With idle time at 4.4 hours, the total operation time couldn't be less than 4.4 hours.
If the vehicle's operation time was 8.7 hours, driving time couldn't be more than 8.7 hours.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";2;[['idle time', 'total operation time'], ['total operation time', 'driving time']]
"Input text:
Textual context: Given that axle 1 load is 6512.4 kg, axle 2 load needs to be greater than 6512.4 kg.
When axle 2 has 10974.2 kg, the payload needs to be under 10974.2 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";2;[['axle 1 load', 'axle 2 load'], ['axle 2 load', 'payload']]
"Input text:
Textual context: If the vehicle's operation time was 2.0 hours, idle time couldn't be more than 2.0 hours.
With a payload of 4386.7 kg, axle 2 must have more than 4386.7 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";2;[['total operation time', 'idle time'], ['payload', 'axle 2 load']]
"Input text:
Textual context: When axle 1 has 3541.3 kg load, axle 2 must be loaded with more than 3541.3 kg.
If the load on axle 3 is 6501.4 kg, axle 1 must bear less than 6501.4 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";2;[['axle 1 load', 'axle 2 load'], ['axle 3 load', 'axle 1 load']]
"Input text:
Textual context: With 224 stops, it's impossible for PTO-engaged stops to be above 224.
Given a payload of 7836.7 kg, axle 2 load must exceed 7836.7 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";2;[['stops', 'stops with PTO engaged'], ['payload', 'axle 2 load']]
"Input text:
Textual context: When idle time was 4.7 hours, the overall operation time couldn't have been under 4.7 hours.
If the load on axle 3 is 6388.6 kg, the payload must be under 6388.6 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";2;[['idle time', 'total operation time'], ['axle 3 load', 'payload']]
"Input text:
Textual context: If the vehicle traveled 52.6 km, it must have used at least 42.6 dm³ of fuel.
Given a payload of 5523.7 kg, axle 3 load must exceed 5523.7 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";2;[['distance', 'total fuel consumption'], ['payload', 'axle 3 load']]
"Input text:
Textual context: With a total operation time of 7.0 hours, the vehicle must have used at least 66.0 dm³ of fuel.
If the payload is 4815.3 kg, axle 3 must carry more than 4815.3 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";2;[['total operation time', 'total fuel consumption'], ['payload', 'axle 3 load']]
"Input text:
Textual context: When PTO time was 2.0 hours, the overall operation time couldn't have been under 2.0 hours.
With a total operation time of 4.4 hours, idle time couldn't surpass 4.4 hours.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";2;[['PTO operation time', 'total operation time'], ['total operation time', 'idle time']]
"Input text:
Textual context: If the vehicle's operation time was 5.2 hours, driving time couldn't be more than 5.2 hours.
If there are 28 PTO-engaged stops, total stops can't be under 28.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";2;[['total operation time', 'driving time'], ['stops with PTO engaged', 'stops']]
"Input text:
Textual context: If PTO time was 4.9 hours, the vehicle's total operation time wouldn't be below 4.9 hours.
If idle time was 4.9 hours, the vehicle's total operation time wouldn't be below 4.9 hours.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";2;[['PTO operation time', 'total operation time'], ['idle time', 'total operation time']]
