Prompt;Answer
"Evaluate the following premises:
Input text:
Textual context: The number of stops where PTO is engaged must not exceed the overall stop count.
The payload cannot exceed the capacity of axle 3.


Used parameters: stops, stops with PTO engaged, payload, axle 3 load.

Data points for used parameters: stops: 85 , stops with PTO engaged: 99 , payload: 5897.2 kg, axle 3 load: 5897.2 kg.

To identify the day as abnormal, it is enough that even one or more conditions are violated.
Remember to return at the end True if the day is abnormal or False otherwise.
";False
"Evaluate the following premises:
Input text:
Textual context: For trips of at least 20 km, the minimum fuel consumption rate per 100 km is 40 dm³/100 km.
Stops with PTO engaged cannot outnumber the total stops.


Used parameters: distance, total fuel consumption, stops, stops with PTO engaged.

Data points for used parameters: distance: 133.05 km, total fuel consumption: 88.7 dm3, stops: 66 , stops with PTO engaged: 25 .

To identify the day as abnormal, it is enough that even one or more conditions are violated.
Remember to return at the end True if the day is abnormal or False otherwise.
";False
"Evaluate the following premises:
Input text:
Textual context: The load carried by axle 1 must be smaller than or equal to the load on axle 3.
Total operation time should be at least the sum of PTO, idle, and driving times.


Used parameters: axle 1 load, axle 3 load, total operation time, PTO operation time, idle time, driving time.

Data points for used parameters: axle 1 load: 4106.6 kg, axle 3 load: 4106.6 kg, total operation time: 5.5 h, PTO operation time: 1.3 h, idle time: 2.5 h, driving time: 1.7 h.

To identify the day as abnormal, it is enough that even one or more conditions are violated.
Remember to return at the end True if the day is abnormal or False otherwise.
";False
"Evaluate the following premises:
Input text:
Textual context: PTO operation time must be less than or equal to the total operation time.
Axle 1's load cannot exceed Axle 3's load.


Used parameters: total operation time, PTO operation time, axle 1 load, axle 3 load.

Data points for used parameters: total operation time: 9.5 h, PTO operation time: 1.9 h, axle 1 load: 4106.6 kg, axle 3 load: 4106.6 kg.

To identify the day as abnormal, it is enough that even one or more conditions are violated.
Remember to return at the end True if the day is abnormal or False otherwise.
";False
"Evaluate the following premises:
Input text:
Textual context: The vehicle's minimum average fuel consumption per 100 km, if it travels 20 km or more, is 40 dm³/100 km.
The payload cannot exceed the capacity of axle 3.


Used parameters: distance, total fuel consumption, payload, axle 3 load.

Data points for used parameters: distance: 227.70000000000002 km, total fuel consumption: 75.9 dm3, payload: 8184.2 kg, axle 3 load: 6597.0 kg.

To identify the day as abnormal, it is enough that even one or more conditions are violated.
Remember to return at the end True if the day is abnormal or False otherwise.
";False
"Evaluate the following premises:
Input text:
Textual context: For trips of at least 20 km, the minimum fuel consumption rate per 100 km is 40 dm³/100 km.
Driving time should be less than or equal to the total operation time.


Used parameters: distance, total fuel consumption, total operation time, driving time.

Data points for used parameters: distance: 133.05 km, total fuel consumption: 88.7 dm3, total operation time: 5.1 h, driving time: 1.5 h.

To identify the day as abnormal, it is enough that even one or more conditions are violated.
Remember to return at the end True if the day is abnormal or False otherwise.
";False
"Evaluate the following premises:
Input text:
Textual context: The payload must always be smaller than or equal to the load on axle 2.
The payload must always be smaller than or equal to the load on axle 3.


Used parameters: payload, axle 2 load, payload, axle 3 load.

Data points for used parameters: payload: 3884.6 kg, axle 2 load: 3884.6 kg, payload: 2785.0 kg, axle 3 load: 5327.8 kg.

To identify the day as abnormal, it is enough that even one or more conditions are violated.
Remember to return at the end True if the day is abnormal or False otherwise.
";False
"Evaluate the following premises:
Input text:
Textual context: PTO-engaged stops cannot exceed the total number of stops.
The load carried by axle 1 must be smaller than or equal to the load on axle 3.


Used parameters: stops, stops with PTO engaged, axle 1 load, axle 3 load.

Data points for used parameters: stops: 66 , stops with PTO engaged: 25 , axle 1 load: 4106.6 kg, axle 3 load: 4106.6 kg.

To identify the day as abnormal, it is enough that even one or more conditions are violated.
Remember to return at the end True if the day is abnormal or False otherwise.
";False
"Evaluate the following premises:
Input text:
Textual context: If the vehicle covers at least 20 km, the average fuel consumption per distance cannot be lower than 40 dm³/100 km.
Axle 2's load must always be equal to or greater than the payload.


Used parameters: distance, total fuel consumption, payload, axle 2 load.

Data points for used parameters: distance: 227.70000000000002 km, total fuel consumption: 75.9 dm3, payload: 966.7 kg, axle 2 load: 8753.7 kg.

To identify the day as abnormal, it is enough that even one or more conditions are violated.
Remember to return at the end True if the day is abnormal or False otherwise.
";False
"Evaluate the following premises:
Input text:
Textual context: The load on axle 1 must not surpass the load on axle 2.
The weight on axle 1 cannot surpass the weight on axle 3.


Used parameters: axle 1 load, axle 2 load, axle 1 load, axle 3 load.

Data points for used parameters: axle 1 load: 2423.1 kg, axle 2 load: 2423.1 kg, axle 1 load: 3423.5 kg, axle 3 load: 5312.1 kg.

To identify the day as abnormal, it is enough that even one or more conditions are violated.
Remember to return at the end True if the day is abnormal or False otherwise.
";False
"Evaluate the following premises:
Input text:
Textual context: Idle time cannot be greater than the total operation time.
Driving time should be less than or equal to the total operation time.


Used parameters: total operation time, idle time, total operation time, driving time.

Data points for used parameters: total operation time: 1.4 h, idle time: 2.0 h, total operation time: 5.1 h, driving time: 1.5 h.

To identify the day as abnormal, it is enough that even one or more conditions are violated.
Remember to return at the end True if the day is abnormal or False otherwise.
";False
"Evaluate the following premises:
Input text:
Textual context: Axle 1's load cannot exceed Axle 2's load.
The total operation duration must always be greater than or equal to the combined time for PTO, idle, and driving.


Used parameters: axle 1 load, axle 2 load, total operation time, PTO operation time, idle time, driving time.

Data points for used parameters: axle 1 load: 2423.1 kg, axle 2 load: 2423.1 kg, total operation time: 6.5 h, PTO operation time: 0.6 h, idle time: 1.9 h, driving time: 1.6 h.

To identify the day as abnormal, it is enough that even one or more conditions are violated.
Remember to return at the end True if the day is abnormal or False otherwise.
";False
"Evaluate the following premises:
Input text:
Textual context: The vehicle's minimum average fuel consumption per 100 km, if it travels 20 km or more, is 40 dm³/100 km.
Total operation time shouldn’t be lower than idle time.


Used parameters: distance, total fuel consumption, total operation time, idle time.

Data points for used parameters: distance: 88.8 km, total fuel consumption: 44.4 dm3, total operation time: 9.5 h, idle time: 5.3 h.

To identify the day as abnormal, it is enough that even one or more conditions are violated.
Remember to return at the end True if the day is abnormal or False otherwise.
";False
"Evaluate the following premises:
Input text:
Textual context: The total operation durationmust not be lower than the driving time.
Axle 1's load cannot exceed Axle 3's load.


Used parameters: total operation time, driving time, axle 1 load, axle 3 load.

Data points for used parameters: total operation time: 5.1 h, driving time: 1.5 h, axle 1 load: 7203.1 kg, axle 3 load: 6652.3 kg.

To identify the day as abnormal, it is enough that even one or more conditions are violated.
Remember to return at the end True if the day is abnormal or False otherwise.
";False
"Evaluate the following premises:
Input text:
Textual context: PTO operation time should be less than or equal to the total operation time.
Total operation time must be greater than or equal to the sum of PTO operation, idle, and driving times.


Used parameters: total operation time, PTO operation time, total operation time, PTO operation time, idle time, driving time.

Data points for used parameters: total operation time: 9.5 h, PTO operation time: 1.9 h, total operation time: 6.5 h, PTO operation time: 0.6 h, idle time: 1.9 h, driving time: 1.6 h.

To identify the day as abnormal, it is enough that even one or more conditions are violated.
Remember to return at the end True if the day is abnormal or False otherwise.
";False
"Evaluate the following premises:
Input text:
Textual context: The vehicle’s average hourly fuel consumption cannot be less than 5 dm³/h, provided that it traveled at least 20 km.
PTO operation time cannot be greater than the total operation time.


Used parameters: total operation time, total fuel consumption, total operation time, PTO operation time.

Data points for used parameters: total operation time: 6.640000000000001 h, total fuel consumption: 66.4 dm3, total operation time: 2.2 h, PTO operation time: 3.3 h.

To identify the day as abnormal, it is enough that even one or more conditions are violated.
Remember to return at the end True if the day is abnormal or False otherwise.
";False
"Evaluate the following premises:
Input text:
Textual context: Idle time should be less than or equal to the total operation time.
The load supported by axle 1 cannot exceed that of axle 3.


Used parameters: total operation time, idle time, axle 1 load, axle 3 load.

Data points for used parameters: total operation time: 1.4 h, idle time: 2.0 h, axle 1 load: 3423.5 kg, axle 3 load: 5312.1 kg.

To identify the day as abnormal, it is enough that even one or more conditions are violated.
Remember to return at the end True if the day is abnormal or False otherwise.
";False
"Evaluate the following premises:
Input text:
Textual context: PTO operation time cannot be greater than the total operation time.
The payload must not exceed the load carried by axle 3.


Used parameters: total operation time, PTO operation time, payload, axle 3 load.

Data points for used parameters: total operation time: 3.1 h, PTO operation time: 3.1 h, payload: 5897.2 kg, axle 3 load: 5897.2 kg.

To identify the day as abnormal, it is enough that even one or more conditions are violated.
Remember to return at the end True if the day is abnormal or False otherwise.
";False
"Evaluate the following premises:
Input text:
Textual context: The vehicle’s average hourly fuel consumption cannot be less than 5 dm³/h, provided that it traveled at least 20 km.
The vehicle's minimum average fuel consumption per 100 km, if it travels 20 km or more, is 40 dm³/100 km.


Used parameters: total operation time, total fuel consumption, distance, total fuel consumption.

Data points for used parameters: total operation time: 4.725 h, total fuel consumption: 18.9 dm3, distance: 88.8 km, total fuel consumption: 44.4 dm3.

To identify the day as abnormal, it is enough that even one or more conditions are violated.
Remember to return at the end True if the day is abnormal or False otherwise.
";False
"Evaluate the following premises:
Input text:
Textual context: The total operation durationmust not be lower than the driving time.
PTO-engaged stops cannot exceed the total number of stops.


Used parameters: total operation time, driving time, stops, stops with PTO engaged.

Data points for used parameters: total operation time: 1.9 h, driving time: 2.8 h, stops: 66 , stops with PTO engaged: 25 .

To identify the day as abnormal, it is enough that even one or more conditions are violated.
Remember to return at the end True if the day is abnormal or False otherwise.
";False
"Evaluate the following premises:
Input text:
Textual context: The load supported by axle 1 cannot exceed that of axle 2.
The payload cannot exceed the capacity of axle 3.


Used parameters: axle 1 load, axle 2 load, payload, axle 3 load.

Data points for used parameters: axle 1 load: 10647.3 kg, axle 2 load: 10807.3 kg, payload: 5897.2 kg, axle 3 load: 5897.2 kg.

To identify the day as abnormal, it is enough that even one or more conditions are violated.
Remember to return at the end True if the day is abnormal or False otherwise.
";False
"Evaluate the following premises:
Input text:
Textual context: For a journey of at least 20 km, the vehicle's lowest average fuel consumption per hour is 5 dm³/h.
The weight on axle 1 cannot surpass the weight on axle 3.


Used parameters: total operation time, total fuel consumption, axle 1 load, axle 3 load.

Data points for used parameters: total operation time: 4.725 h, total fuel consumption: 18.9 dm3, axle 1 load: 7203.1 kg, axle 3 load: 6652.3 kg.

To identify the day as abnormal, it is enough that even one or more conditions are violated.
Remember to return at the end True if the day is abnormal or False otherwise.
";False
"Evaluate the following premises:
Input text:
Textual context: If the vehicle covers a distance of no less than 20 km, its hourly fuel consumption cannot drop below 5 dm³/h.
Total operation time should be at least the sum of PTO, idle, and driving times.


Used parameters: total operation time, total fuel consumption, total operation time, PTO operation time, idle time, driving time.

Data points for used parameters: total operation time: 40.6 h, total fuel consumption: 81.2 dm3, total operation time: 8.0 h, PTO operation time: 4.6 h, idle time: 2.2 h, driving time: 1.6 h.

To identify the day as abnormal, it is enough that even one or more conditions are violated.
Remember to return at the end True if the day is abnormal or False otherwise.
";False
"Evaluate the following premises:
Input text:
Textual context: Stops with PTO engaged cannot outnumber the total stops.
Total operation time must be greater than or equal to the sum of PTO operation, idle, and driving times.


Used parameters: stops, stops with PTO engaged, total operation time, PTO operation time, idle time, driving time.

Data points for used parameters: stops: 85 , stops with PTO engaged: 99 , total operation time: 6.5 h, PTO operation time: 0.6 h, idle time: 1.9 h, driving time: 1.6 h.

To identify the day as abnormal, it is enough that even one or more conditions are violated.
Remember to return at the end True if the day is abnormal or False otherwise.
";False
"Evaluate the following premises:
Input text:
Textual context: The load supported by axle 1 cannot exceed that of axle 3.
Payload must remain below or equal to the load carried by axle 3.


Used parameters: axle 1 load, axle 3 load, payload, axle 3 load.

Data points for used parameters: axle 1 load: 4106.6 kg, axle 3 load: 4106.6 kg, payload: 5897.2 kg, axle 3 load: 5897.2 kg.

To identify the day as abnormal, it is enough that even one or more conditions are violated.
Remember to return at the end True if the day is abnormal or False otherwise.
";False
"Evaluate the following premises:
Input text:
Textual context: Idle time must always be less than or equal to the total operation time.
Payload must remain below or equal to the load carried by axle 3.


Used parameters: total operation time, idle time, payload, axle 3 load.

Data points for used parameters: total operation time: 9.5 h, idle time: 5.3 h, payload: 5897.2 kg, axle 3 load: 5897.2 kg.

To identify the day as abnormal, it is enough that even one or more conditions are violated.
Remember to return at the end True if the day is abnormal or False otherwise.
";False
"Evaluate the following premises:
Input text:
Textual context: For trips of at least 20 km, the minimum fuel consumption rate per 100 km is 40 dm³/100 km.
The load on axle 1 must not surpass the load on axle 2.


Used parameters: distance, total fuel consumption, axle 1 load, axle 2 load.

Data points for used parameters: distance: 227.70000000000002 km, total fuel consumption: 75.9 dm3, axle 1 load: 10647.3 kg, axle 2 load: 10807.3 kg.

To identify the day as abnormal, it is enough that even one or more conditions are violated.
Remember to return at the end True if the day is abnormal or False otherwise.
";False
"Evaluate the following premises:
Input text:
Textual context: Driving time must always be less than or equal to the total operation time.
Total operation time must be greater than or equal to the sum of PTO operation, idle, and driving times.


Used parameters: total operation time, driving time, total operation time, PTO operation time, idle time, driving time.

Data points for used parameters: total operation time: 1.9 h, driving time: 2.8 h, total operation time: 5.5 h, PTO operation time: 1.3 h, idle time: 2.5 h, driving time: 1.7 h.

To identify the day as abnormal, it is enough that even one or more conditions are violated.
Remember to return at the end True if the day is abnormal or False otherwise.
";False
"Evaluate the following premises:
Input text:
Textual context: The total operation duration must not be lower than the PTO operation time.
The number of stops where PTO is engaged must not exceed the overall stop count.


Used parameters: total operation time, PTO operation time, stops, stops with PTO engaged.

Data points for used parameters: total operation time: 2.2 h, PTO operation time: 3.3 h, stops: 118 , stops with PTO engaged: 118 .

To identify the day as abnormal, it is enough that even one or more conditions are violated.
Remember to return at the end True if the day is abnormal or False otherwise.
";False
"Evaluate the following premises:
Input text:
Textual context: Total operation time shouldn’t be lower than idle time.
The total operation duration must always be greater than or equal to the combined time for PTO, idle, and driving.


Used parameters: total operation time, idle time, total operation time, PTO operation time, idle time, driving time.

Data points for used parameters: total operation time: 6.9 h, idle time: 6.9 h, total operation time: 8.0 h, PTO operation time: 4.6 h, idle time: 2.2 h, driving time: 1.6 h.

To identify the day as abnormal, it is enough that even one or more conditions are violated.
Remember to return at the end True if the day is abnormal or False otherwise.
";False
"Evaluate the following premises:
Input text:
Textual context: If the vehicle covers a distance of no less than 20 km, its hourly fuel consumption cannot drop below 5 dm³/h.
The total operation duration must not be lower than the idle time.


Used parameters: total operation time, total fuel consumption, total operation time, idle time.

Data points for used parameters: total operation time: 6.640000000000001 h, total fuel consumption: 66.4 dm3, total operation time: 1.4 h, idle time: 2.0 h.

To identify the day as abnormal, it is enough that even one or more conditions are violated.
Remember to return at the end True if the day is abnormal or False otherwise.
";False
"Evaluate the following premises:
Input text:
Textual context: The minimum average fuel consumption per distance, given that the vehicle has traveled at least 20 km, is 40 dm³/100 km.
The load carried by axle 1 must be smaller than or equal to the load on axle 3.


Used parameters: distance, total fuel consumption, axle 1 load, axle 3 load.

Data points for used parameters: distance: 133.05 km, total fuel consumption: 88.7 dm3, axle 1 load: 4106.6 kg, axle 3 load: 4106.6 kg.

To identify the day as abnormal, it is enough that even one or more conditions are violated.
Remember to return at the end True if the day is abnormal or False otherwise.
";False
"Evaluate the following premises:
Input text:
Textual context: Driving time should be less than or equal to the total operation time.
The payload must not exceed the load carried by axle 3.


Used parameters: total operation time, driving time, payload, axle 3 load.

Data points for used parameters: total operation time: 5.1 h, driving time: 1.5 h, payload: 5897.2 kg, axle 3 load: 5897.2 kg.

To identify the day as abnormal, it is enough that even one or more conditions are violated.
Remember to return at the end True if the day is abnormal or False otherwise.
";False
"Evaluate the following premises:
Input text:
Textual context: The total operation duration must not be lower than the PTO operation time.
Axle 2's load must always be equal to or greater than the payload.


Used parameters: total operation time, PTO operation time, payload, axle 2 load.

Data points for used parameters: total operation time: 2.2 h, PTO operation time: 3.3 h, payload: 3884.6 kg, axle 2 load: 3884.6 kg.

To identify the day as abnormal, it is enough that even one or more conditions are violated.
Remember to return at the end True if the day is abnormal or False otherwise.
";False
"Evaluate the following premises:
Input text:
Textual context: The payload cannot exceed the capacity of axle 3.
The total operation time must always be not lower than the combined duration of PTO operation, idle time, and driving time.


Used parameters: payload, axle 3 load, total operation time, PTO operation time, idle time, driving time.

Data points for used parameters: payload: 5897.2 kg, axle 3 load: 5897.2 kg, total operation time: 8.0 h, PTO operation time: 4.6 h, idle time: 2.2 h, driving time: 1.6 h.

To identify the day as abnormal, it is enough that even one or more conditions are violated.
Remember to return at the end True if the day is abnormal or False otherwise.
";False
"Evaluate the following premises:
Input text:
Textual context: Idle time should be less than or equal to the total operation time.
The load on axle 1 must not surpass the load on axle 2.


Used parameters: total operation time, idle time, axle 1 load, axle 2 load.

Data points for used parameters: total operation time: 9.5 h, idle time: 5.3 h, axle 1 load: 2423.1 kg, axle 2 load: 2423.1 kg.

To identify the day as abnormal, it is enough that even one or more conditions are violated.
Remember to return at the end True if the day is abnormal or False otherwise.
";False
