Condition_number;Values;Outlier
0;[84.2, 42.1];0
0;[164.0, 41.0];0
0;[385.0, 38.5];1
1;[8.01, 26.7];0
1;[33.25, 66.5];0
1;[128.39999999999998, 85.6];1
2;[5.7, 4.0];0
2;[5.8, 5.8];0
2;[1.5, 2.5];1
3;[3.8, 2.0];0
3;[7.7, 7.7];0
3;[1.0, 2.1];1
4;[8.6, 3.2];0
4;[5.1, 5.1];0
4;[1.3, 4.0];1
5;[171, 110];0
5;[23, 23];0
5;[29, 98];1
6;[3241.2, 3010.4];1
6;[6350.4, 6350.4];0
6;[8615.7, 10399.4];0
7;[4270.1, 2362.5];1
7;[2503.2, 2503.2];0
7;[4813.7, 6333.2];0
8;[51.6, 7.7];1
8;[3817.5, 3817.5];0
8;[8084.4, 10977.5];0
9;[7094.8, 1093.9];1
9;[10803.0, 10803.0];0
9;[5133.3, 6224.3];0
10;[2.1, 0.3, 1.0, 0.7];0
10;[5.9, 2.7, 1.6, 1.6];0
10;[4.6, 2.9, 1.8, 1.3];1
