Prompt;Number of conditions;Parameters
"Input text:
Textual context: The number of stops where PTO is engaged must not exceed the overall stop count.
The payload cannot exceed the capacity of axle 3.
";2;[['stops with PTO engaged', 'stops'], ['payload', 'axle 3 load']]
"Input text:
Textual context: For trips of at least 20 km, the minimum fuel consumption rate per 100 km is 40 dm³/100 km.
Stops with PTO engaged cannot outnumber the total stops.
";2;[['distance', 'total fuel consumption'], ['stops with PTO engaged', 'stops']]
"Input text:
Textual context: The load carried by axle 1 must be smaller than or equal to the load on axle 3.
Total operation time should be at least the sum of PTO, idle, and driving times.
";2;[['axle 1 load', 'axle 3 load'], ['total operation time', 'PTO operation time', 'idle time', 'driving time']]
"Input text:
Textual context: PTO operation time must be less than or equal to the total operation time.
Axle 1's load cannot exceed Axle 3's load.
";2;[['PTO operation time', 'total operation time'], ['axle 1 load', 'axle 3 load']]
"Input text:
Textual context: The vehicle's minimum average fuel consumption per 100 km, if it travels 20 km or more, is 40 dm³/100 km.
The payload cannot exceed the capacity of axle 3.
";2;[['total fuel consumption', 'distance'], ['payload', 'axle 3 load']]
"Input text:
Textual context: For trips of at least 20 km, the minimum fuel consumption rate per 100 km is 40 dm³/100 km.
Driving time should be less than or equal to the total operation time.
";2;[['distance', 'total fuel consumption'], ['driving time', 'total operation time']]
"Input text:
Textual context: The payload must always be smaller than or equal to the load on axle 2.
The payload must always be smaller than or equal to the load on axle 3.
";2;[['payload', 'axle 2 load'], ['payload', 'axle 3 load']]
"Input text:
Textual context: PTO-engaged stops cannot exceed the total number of stops.
The load carried by axle 1 must be smaller than or equal to the load on axle 3.
";2;[['stops with PTO engaged', 'stops'], ['axle 1 load', 'axle 3 load']]
"Input text:
Textual context: If the vehicle covers at least 20 km, the average fuel consumption per distance cannot be lower than 40 dm³/100 km.
Axle 2's load must always be equal to or greater than the payload.
";2;[['distance', 'total fuel consumption'], ['axle 2 load', 'payload']]
"Input text:
Textual context: The load on axle 1 must not surpass the load on axle 2.
The weight on axle 1 cannot surpass the weight on axle 3.
";2;[['axle 1 load', 'axle 2 load'], ['axle 1 load', 'axle 3 load']]
"Input text:
Textual context: Idle time cannot be greater than the total operation time.
Driving time should be less than or equal to the total operation time.
";2;[['idle time', 'total operation time'], ['driving time', 'total operation time']]
"Input text:
Textual context: Axle 1's load cannot exceed Axle 2's load.
The total operation duration must always be greater than or equal to the combined time for PTO, idle, and driving.
";2;[['axle 1 load', 'axle 2 load'], ['total operation time', 'PTO operation time', 'idle time', 'driving time']]
"Input text:
Textual context: The vehicle's minimum average fuel consumption per 100 km, if it travels 20 km or more, is 40 dm³/100 km.
Total operation time shouldn’t be lower than idle time.
";2;[['total fuel consumption', 'distance'], ['total operation time', 'idle time']]
"Input text:
Textual context: The total operation durationmust not be lower than the driving time.
Axle 1's load cannot exceed Axle 3's load.
";2;[['total operation time', 'driving time'], ['axle 1 load', 'axle 3 load']]
"Input text:
Textual context: PTO operation time should be less than or equal to the total operation time.
Total operation time must be greater than or equal to the sum of PTO operation, idle, and driving times.
";2;[['PTO operation time', 'total operation time'], ['total operation time', 'PTO operation time', 'idle time', 'driving time']]
"Input text:
Textual context: The vehicle’s average hourly fuel consumption cannot be less than 5 dm³/h, provided that it traveled at least 20 km.
PTO operation time cannot be greater than the total operation time.
";2;[['total fuel consumption', 'total operation time'], ['PTO operation time', 'total operation time']]
"Input text:
Textual context: Idle time should be less than or equal to the total operation time.
The load supported by axle 1 cannot exceed that of axle 3.
";2;[['idle time', 'total operation time'], ['axle 1 load', 'axle 3 load']]
"Input text:
Textual context: PTO operation time cannot be greater than the total operation time.
The payload must not exceed the load carried by axle 3.
";2;[['PTO operation time', 'total operation time'], ['payload', 'axle 3 load']]
"Input text:
Textual context: The vehicle’s average hourly fuel consumption cannot be less than 5 dm³/h, provided that it traveled at least 20 km.
The vehicle's minimum average fuel consumption per 100 km, if it travels 20 km or more, is 40 dm³/100 km.
";2;[['total fuel consumption', 'total operation time'], ['total fuel consumption', 'distance']]
"Input text:
Textual context: The total operation durationmust not be lower than the driving time.
PTO-engaged stops cannot exceed the total number of stops.
";2;[['total operation time', 'driving time'], ['stops with PTO engaged', 'stops']]
"Input text:
Textual context: The load supported by axle 1 cannot exceed that of axle 2.
The payload cannot exceed the capacity of axle 3.
";2;[['axle 1 load', 'axle 2 load'], ['payload', 'axle 3 load']]
"Input text:
Textual context: For a journey of at least 20 km, the vehicle's lowest average fuel consumption per hour is 5 dm³/h.
The weight on axle 1 cannot surpass the weight on axle 3.
";2;[['total operation time', 'total fuel consumption'], ['axle 1 load', 'axle 3 load']]
"Input text:
Textual context: If the vehicle covers a distance of no less than 20 km, its hourly fuel consumption cannot drop below 5 dm³/h.
Total operation time should be at least the sum of PTO, idle, and driving times.
";2;[['total operation time', 'total fuel consumption'], ['total operation time', 'PTO operation time', 'idle time', 'driving time']]
"Input text:
Textual context: Stops with PTO engaged cannot outnumber the total stops.
Total operation time must be greater than or equal to the sum of PTO operation, idle, and driving times.
";2;[['stops with PTO engaged', 'stops'], ['total operation time', 'PTO operation time', 'idle time', 'driving time']]
