Prompt;Premises;No. of parameters;Parameters;Model;Model output;Syntax eval;Outlier;Outlier detection
"System Message:
        You are a logician with a background in mathematics that translates natural language
        reasoning text to Python3 code so that these natural language reasoning problems can be solved.
        During the translation, please pay close attention to defining variables and rules.
        Do not add any comments from you.
        Be guided by the following example:
        Example input text:
        Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.

        Example Python3 code:
        # A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10


        
Input text:
Textual context: A vehicle typically operates for 2 to 10 hours each day.
On a typical day, the load on axle 3 ranges from 4500 to 7500 kg.
";"A vehicle typically operates for 2 to 10 hours each day.
On a typical day, the load on axle 3 ranges from 4500 to 7500 kg.
";2;['total operation time', 'axle 3 load'];QwenCoder;"# A vehicle typically operates for 2 to 10 hours each day.
def r1(hours: float) -> bool:
    return 2 <= hours <= 10
# On a typical day, the load on axle 3 ranges from 4500 to 7500 kg.
def r2(load_axle_3: float) -> bool:
    return 4500 <= load_axle_3 <= 7500

def r3(arg1: float, arg2: float):
    return not(r1(arg1) and r2(arg2)), r1(arg1), r2(arg2)";Correct syntax;['True, False, True', 'True, True, False', 'True, False, True', 'True, True, False', 'True, False, True', 'True, True, False', 'True, False, True', 'True, True, False'];['True, False, True', 'True, True, False', 'True, False, True', 'True, True, False', 'True, False, True', 'True, True, False', 'True, False, True', 'True, True, False']
"System Message:
        You are a logician with a background in mathematics that translates natural language
        reasoning text to Python3 code so that these natural language reasoning problems can be solved.
        During the translation, please pay close attention to defining variables and rules.
        Do not add any comments from you.
        Be guided by the following example:
        Example input text:
        Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.

        Example Python3 code:
        # A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10


        
Input text:
Textual context: On a typical day, a vehicle's speed varies between 0 and 80 km/h.
It is uncommon for a vehicle to perform fewer than 50 or more than 300 compaction cycles in a day.
";"On a typical day, a vehicle's speed varies between 0 and 80 km/h.
It is uncommon for a vehicle to perform fewer than 50 or more than 300 compaction cycles in a day.
";2;['vehicle speed', 'compaction cycles'];QwenCoder;"# On a typical day, a vehicle's speed varies between 0 and 80 km/h.
def r1(speed: float) -> bool:
    return 0 <= speed <= 80
# It is uncommon for a vehicle to perform fewer than 50 or more than 300 compaction cycles in a day.
def r2(cycles: int) -> bool:
    return 50 <= cycles <= 300

def r3(arg1: float, arg2: float):
    return not(r1(arg1) and r2(arg2)), r1(arg1), r2(arg2)";Correct syntax;['False, True, True', 'True, True, False', 'False, True, True', 'True, True, False', 'True, False, True', 'True, True, False', 'True, False, True', 'True, True, False'];['False, True, True', 'True, True, False', 'False, True, True', 'True, True, False', 'True, False, True', 'True, True, False', 'True, False, True', 'True, True, False']
"System Message:
        You are a logician with a background in mathematics that translates natural language
        reasoning text to Python3 code so that these natural language reasoning problems can be solved.
        During the translation, please pay close attention to defining variables and rules.
        Do not add any comments from you.
        Be guided by the following example:
        Example input text:
        Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.

        Example Python3 code:
        # A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10


        
Input text:
Textual context: A vehicle's PTO operates for 0.2 to 5 hours in a typical day.
It is unusual for a vehicle to operate at speeds outside the range of 0 to 80 km/h in a day.
";"A vehicle's PTO operates for 0.2 to 5 hours in a typical day.
It is unusual for a vehicle to operate at speeds outside the range of 0 to 80 km/h in a day.
";2;['PTO operation time', 'vehicle speed'];QwenCoder;"# A vehicle's PTO operates for 0.2 to 5 hours in a typical day.
def r1(pto_hours: float) -> bool:
    return 0.2 <= pto_hours <= 5
# It is unusual for a vehicle to operate at speeds outside the range of 0 to 80 km/h in a day.
def r2(speed: float) -> bool:
    return 0 <= speed <= 80

def r3(arg1: float, arg2: float):
    return not(r1(arg1) and r2(arg2)), r1(arg1), r2(arg2)";Correct syntax;['True, False, True', 'False, True, True', 'True, False, True', 'False, True, True', 'True, False, True', 'True, True, False', 'True, False, True', 'True, True, False'];['True, False, True', 'False, True, True', 'True, False, True', 'False, True, True', 'True, False, True', 'True, True, False', 'True, False, True', 'True, True, False']
"System Message:
        You are a logician with a background in mathematics that translates natural language
        reasoning text to Python3 code so that these natural language reasoning problems can be solved.
        During the translation, please pay close attention to defining variables and rules.
        Do not add any comments from you.
        Be guided by the following example:
        Example input text:
        Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.

        Example Python3 code:
        # A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10


        
Input text:
Textual context: In a typical day, a vehicle makes 20 to 250 stops with the PTO engaged.
It is rare for a vehicle to operate outside the speed range of 0 to 80 km/h in a typical day.
";"In a typical day, a vehicle makes 20 to 250 stops with the PTO engaged.
It is rare for a vehicle to operate outside the speed range of 0 to 80 km/h in a typical day.
";2;['stops with PTO engaged', 'vehicle speed'];QwenCoder;"# In a typical day, a vehicle makes 20 to 250 stops with the PTO engaged.
def r1(stops: int) -> bool:
    return 20 <= stops <= 250
# It is rare for a vehicle to operate outside the speed range of 0 to 80 km/h in a typical day.
def r2(speed: float) -> bool:
    return 0 <= speed <= 80

def r3(arg1: float, arg2: float):
    return not(r1(arg1) and r2(arg2)), r1(arg1), r2(arg2)";Correct syntax;['True, False, True', 'False, True, True', 'True, False, True', 'False, True, True', 'True, False, True', 'True, True, False', 'True, False, True', 'True, True, False'];['True, False, True', 'False, True, True', 'True, False, True', 'False, True, True', 'True, False, True', 'True, True, False', 'True, False, True', 'True, True, False']
"System Message:
        You are a logician with a background in mathematics that translates natural language
        reasoning text to Python3 code so that these natural language reasoning problems can be solved.
        During the translation, please pay close attention to defining variables and rules.
        Do not add any comments from you.
        Be guided by the following example:
        Example input text:
        Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.

        Example Python3 code:
        # A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10


        
Input text:
Textual context: It is unlikely for a vehicle to operate for less than 2 hours or more than 10 hours in a typical day.
On a normal day, a vehicle’s speed ranges from 0 to 80 km/h.
";"It is unlikely for a vehicle to operate for less than 2 hours or more than 10 hours in a typical day.
On a normal day, a vehicle’s speed ranges from 0 to 80 km/h.
";2;['total operation time', 'vehicle speed'];QwenCoder;"# It is unlikely for a vehicle to operate for less than 2 hours or more than 10 hours in a typical day.
def r1(hours: float) -> bool:
    return 2 <= hours <= 10
# On a normal day, a vehicle’s speed ranges from 0 to 80 km/h.
def r2(speed: float) -> bool:
    return 0 <= speed <= 80

def r3(arg1: float, arg2: float):
    return not(r1(arg1) and r2(arg2)), r1(arg1), r2(arg2)";Correct syntax;['True, False, True', 'False, True, True', 'True, False, True', 'False, True, True', 'True, False, True', 'True, True, False', 'True, False, True', 'True, True, False'];['True, False, True', 'False, True, True', 'True, False, True', 'False, True, True', 'True, False, True', 'True, True, False', 'True, False, True', 'True, True, False']
"System Message:
        You are a logician with a background in mathematics that translates natural language
        reasoning text to Python3 code so that these natural language reasoning problems can be solved.
        During the translation, please pay close attention to defining variables and rules.
        Do not add any comments from you.
        Be guided by the following example:
        Example input text:
        Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.

        Example Python3 code:
        # A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10


        
Input text:
Textual context: It is uncommon for a vehicle to spend less than 1 hour or more than 5 hours driving in a day.
It is unlikely for a vehicle to make fewer than 20 stops or more than 300 stops in a day.
";"It is uncommon for a vehicle to spend less than 1 hour or more than 5 hours driving in a day.
It is unlikely for a vehicle to make fewer than 20 stops or more than 300 stops in a day.
";2;['driving time', 'stops'];QwenCoder;"# It is uncommon for a vehicle to spend less than 1 hour or more than 5 hours driving in a day.
def r1(driving_hours: float) -> bool:
    return 1 <= driving_hours <= 5
# It is unlikely for a vehicle to make fewer than 20 stops or more than 300 stops in a day.
def r2(stops: int) -> bool:
    return 20 <= stops <= 300

def r3(arg1: float, arg2: float):
    return not(r1(arg1) and r2(arg2)), r1(arg1), r2(arg2)";Correct syntax;['True, False, True', 'True, True, False', 'True, False, True', 'True, True, False', 'True, False, True', 'True, True, False', 'True, False, True', 'True, True, False'];['True, False, True', 'True, True, False', 'True, False, True', 'True, True, False', 'True, False, True', 'True, True, False', 'True, False, True', 'True, True, False']
"System Message:
        You are a logician with a background in mathematics that translates natural language
        reasoning text to Python3 code so that these natural language reasoning problems can be solved.
        During the translation, please pay close attention to defining variables and rules.
        Do not add any comments from you.
        Be guided by the following example:
        Example input text:
        Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.

        Example Python3 code:
        # A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10


        
Input text:
Textual context: On a usual day, a vehicle travels between 20 and 110 km.
It is not common for axle 1 to carry less than 2000 kg or more than 8000 kg in a day.
";"On a usual day, a vehicle travels between 20 and 110 km.
It is not common for axle 1 to carry less than 2000 kg or more than 8000 kg in a day.
";2;['distance', 'axle 1 load'];QwenCoder;"# On a usual day, a vehicle travels between 20 and 110 km.
def r1(distance: float) -> bool:
    return 20 <= distance <= 110
# It is not common for axle 1 to carry less than 2000 kg or more than 8000 kg in a day.
def r2(axle_load: float) -> bool:
    return 2000 <= axle_load <= 8000

def r3(arg1: float, arg2: float):
    return not(r1(arg1) and r2(arg2)), r1(arg1), r2(arg2)";Correct syntax;['True, False, True', 'True, True, False', 'True, False, True', 'True, True, False', 'True, False, True', 'True, True, False', 'True, False, True', 'True, True, False'];['True, False, True', 'True, True, False', 'True, False, True', 'True, True, False', 'True, False, True', 'True, True, False', 'True, False, True', 'True, True, False']
"System Message:
        You are a logician with a background in mathematics that translates natural language
        reasoning text to Python3 code so that these natural language reasoning problems can be solved.
        During the translation, please pay close attention to defining variables and rules.
        Do not add any comments from you.
        Be guided by the following example:
        Example input text:
        Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.

        Example Python3 code:
        # A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10


        
Input text:
Textual context: It is unlikely for a vehicle to operate for less than 2 hours or more than 10 hours in a typical day.
A vehicle's payload varies from 0 to 11000 kg in a typical day.
";"It is unlikely for a vehicle to operate for less than 2 hours or more than 10 hours in a typical day.
A vehicle's payload varies from 0 to 11000 kg in a typical day.
";2;['total operation time', 'payload'];QwenCoder;"# It is unlikely for a vehicle to operate for less than 2 hours or more than 10 hours in a typical day.
def r1(hours: float) -> bool:
    return 2 <= hours <= 10
# A vehicle's payload varies from 0 to 11000 kg in a typical day.
def r2(payload: float) -> bool:
    return 0 <= payload <= 11000

def r3(arg1: float, arg2: float):
    return not(r1(arg1) and r2(arg2)), r1(arg1), r2(arg2)";Correct syntax;['True, False, True', 'False, True, True', 'True, False, True', 'False, True, True', 'True, False, True', 'True, True, False', 'True, False, True', 'True, True, False'];['True, False, True', 'False, True, True', 'True, False, True', 'False, True, True', 'True, False, True', 'True, True, False', 'True, False, True', 'True, True, False']
"System Message:
        You are a logician with a background in mathematics that translates natural language
        reasoning text to Python3 code so that these natural language reasoning problems can be solved.
        During the translation, please pay close attention to defining variables and rules.
        Do not add any comments from you.
        Be guided by the following example:
        Example input text:
        Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.

        Example Python3 code:
        # A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10


        
Input text:
Textual context: On a normal day, a vehicle’s speed ranges from 0 to 80 km/h.
In a typical day, a vehicle's payload ranges from 0 to 11000 kg.
";"On a normal day, a vehicle’s speed ranges from 0 to 80 km/h.
In a typical day, a vehicle's payload ranges from 0 to 11000 kg.
";2;['vehicle speed', 'payload'];QwenCoder;"# On a normal day, a vehicle’s speed ranges from 0 to 80 km/h.
def r1(speed: float) -> bool:
    return 0 <= speed <= 80
# In a typical day, a vehicle's payload ranges from 0 to 11000 kg.
def r2(payload: float) -> bool:
    return 0 <= payload <= 11000

def r3(arg1: float, arg2: float):
    return not(r1(arg1) and r2(arg2)), r1(arg1), r2(arg2)";Correct syntax;['False, True, True', 'False, True, True', 'False, True, True', 'False, True, True', 'True, False, True', 'True, True, False', 'True, False, True', 'True, True, False'];['False, True, True', 'False, True, True', 'False, True, True', 'False, True, True', 'True, False, True', 'True, True, False', 'True, False, True', 'True, True, False']
"System Message:
        You are a logician with a background in mathematics that translates natural language
        reasoning text to Python3 code so that these natural language reasoning problems can be solved.
        During the translation, please pay close attention to defining variables and rules.
        Do not add any comments from you.
        Be guided by the following example:
        Example input text:
        Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.

        Example Python3 code:
        # A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10


        
Input text:
Textual context: It is not typical for a vehicle to make fewer than 20 stops with the PTO engaged or exceed 250 stops in a day.
Typically, a vehicle consumes 10 to 100 dm³ of fuel in a day.
";"It is not typical for a vehicle to make fewer than 20 stops with the PTO engaged or exceed 250 stops in a day.
Typically, a vehicle consumes 10 to 100 dm³ of fuel in a day.
";2;['stops with PTO engaged', 'total fuel consumption'];QwenCoder;"# It is not typical for a vehicle to make fewer than 20 stops with the PTO engaged or exceed 250 stops in a day.
def r1(stops: int) -> bool:
    return 20 <= stops <= 250
# Typically, a vehicle consumes 10 to 100 dm³ of fuel in a day.
def r2(fuel_consumption: float) -> bool:
    return 10 <= fuel_consumption <= 100

def r3(arg1: float, arg2: float):
    return not(r1(arg1) and r2(arg2)), r1(arg1), r2(arg2)";Correct syntax;['True, False, True', 'True, True, False', 'True, False, True', 'True, True, False', 'True, False, True', 'True, True, False', 'True, False, True', 'True, True, False'];['True, False, True', 'True, True, False', 'True, False, True', 'True, True, False', 'True, False, True', 'True, True, False', 'True, False, True', 'True, True, False']
