Prompt;Premises;No. of parameters;Parameters;Model;Model output;Syntax eval;Outlier;Outlier detection
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10


Input text:
Textual context: The number of stops where PTO is engaged must not exceed the overall stop count.
The payload cannot exceed the capacity of axle 3.";"The number of stops where PTO is engaged must not exceed the overall stop count.
The payload cannot exceed the capacity of axle 3.";2;[['stops with PTO engaged', 'stops'], ['payload', 'axle 3 load']];Gemma3;"# The number of stops where PTO is engaged must not exceed the overall stop count.
def r1(pto_stops: int, overall_stops: int) -> bool:
    return pto_stops <= overall_stops

# The payload cannot exceed the capacity of axle 3.
def r2(payload: float, axle3_capacity: float) -> bool:
    return payload <= axle3_capacity


def r3(arg1: float, arg2: float, arg3: float, arg4: float):
    return not(r1(arg1, arg2) and r2(arg3, arg4)), r1(arg1, arg2), r2(arg3, arg4)";Correct syntax;['True, True, False', 'False, True, True', 'True, False, True'];['True, True, False', 'False, True, True', 'True, False, True']
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10


Input text:
Textual context: Stops with PTO engaged cannot outnumber the total stops.";Stops with PTO engaged cannot outnumber the total stops.;1;[['stops with PTO engaged', 'stops']];Gemma3;"def r1(stops_pto_engaged: int, total_stops: int) -> bool:
    return stops_pto_engaged <= total_stops

def r2(arg1: float, arg2: float):
    return not(r1(arg1, arg2)), r1(arg1, arg2)";Correct syntax;['False, True', 'False, True', 'True, False'];['False, True', 'False, True', 'True, False']
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10


Input text:
Textual context: The load carried by axle 1 must be smaller than or equal to the load on axle 3.
Total operation time should be at least the sum of PTO, idle, and driving times.";"The load carried by axle 1 must be smaller than or equal to the load on axle 3.
Total operation time should be at least the sum of PTO, idle, and driving times.";2;[['axle 1 load', 'axle 3 load'], ['total operation time', 'PTO operation time', 'idle time', 'driving time']];Gemma3;"# The load carried by axle 1 must be smaller than or equal to the load on axle 3.
def r1(load_axle1: float, load_axle3: float) -> bool:
    return load_axle1 <= load_axle3

# Total operation time should be at least the sum of PTO, idle, and driving times.
def r2(total_operation_time: float, pto_time: float, idle_time: float, driving_time: float) -> bool:
    return total_operation_time >= pto_time + idle_time + driving_time


def r3(arg1: float, arg2: float, arg3: float, arg4: float, arg5: float, arg6: float):
    return not(r1(arg1, arg2) and r2(arg3, arg4, arg5, arg6)), r1(arg1, arg2), r2(arg3, arg4, arg5, arg6)";Correct syntax;['True, False, True', 'False, True, True', 'True, True, False'];['True, False, True', 'False, True, True', 'True, True, False']
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10


Input text:
Textual context: PTO operation time must be less than or equal to the total operation time.
Axle 1's load cannot exceed Axle 3's load.";"PTO operation time must be less than or equal to the total operation time.
Axle 1's load cannot exceed Axle 3's load.";2;[['PTO operation time', 'total operation time'], ['axle 1 load', 'axle 3 load']];Gemma3;"def r1(pto_operation_time: float, total_operation_time: float) -> bool:
    return pto_operation_time <= total_operation_time

def r2(axle1_load: float, axle3_load: float) -> bool:
    return axle1_load <= axle3_load

def r3(arg1: float, arg2: float, arg3: float, arg4: float):
    return not(r1(arg1, arg2) and r2(arg3, arg4)), r1(arg1, arg2), r2(arg3, arg4)";Correct syntax;['True, True, False', 'False, True, True', 'True, False, True'];['True, True, False', 'False, True, True', 'True, False, True']
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10


Input text:
Textual context: The payload cannot exceed the capacity of axle 3.";The payload cannot exceed the capacity of axle 3.;1;[['payload', 'axle 3 load']];Gemma3;"# The payload cannot exceed the capacity of axle 3.
def r1(payload: float, capacity_axle3: float) -> bool:
    return payload <= capacity_axle3


def r2(arg1: float, arg2: float):
    return not(r1(arg1, arg2)), r1(arg1, arg2)";Correct syntax;['True, False', 'False, True', 'False, True'];['True, False', 'False, True', 'False, True']
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10


Input text:
Textual context: Driving time should be less than or equal to the total operation time.";Driving time should be less than or equal to the total operation time.;1;[['driving time', 'total operation time']];Gemma3;"# Driving time should be less than or equal to the total operation time.
def r1(driving_time: float, total_operation_time: float) -> bool:
    return driving_time <= total_operation_time


def r2(arg1: float, arg2: float):
    return not(r1(arg1, arg2)), r1(arg1, arg2)";Correct syntax;['False, True', 'False, True', 'True, False'];['False, True', 'False, True', 'True, False']
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10


Input text:
Textual context: The payload must always be smaller than or equal to the load on axle 2.
The payload must always be smaller than or equal to the load on axle 3.";"The payload must always be smaller than or equal to the load on axle 2.
The payload must always be smaller than or equal to the load on axle 3.";2;[['payload', 'axle 2 load'], ['payload', 'axle 3 load']];Gemma3;"# The payload must always be smaller than or equal to the load on axle 2.
def r1(payload: float, load_axle_2: float) -> bool:
    return payload <= load_axle_2

# The payload must always be smaller than or equal to the load on axle 3.
def r2(payload: float, load_axle_3: float) -> bool:
    return payload <= load_axle_3


def r3(arg1: float, arg2: float, arg3: float, arg4: float):
    return not(r1(arg1, arg2) and r2(arg3, arg4)), r1(arg1, arg2), r2(arg3, arg4)";Correct syntax;['True, False, False', 'False, True, True', 'False, True, True'];['True, False, False', 'False, True, True', 'False, True, True']
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10


Input text:
Textual context: PTO-engaged stops cannot exceed the total number of stops.
The load carried by axle 1 must be smaller than or equal to the load on axle 3.";"PTO-engaged stops cannot exceed the total number of stops.
The load carried by axle 1 must be smaller than or equal to the load on axle 3.";2;[['stops with PTO engaged', 'stops'], ['axle 1 load', 'axle 3 load']];Gemma3;"# PTO-engaged stops cannot exceed the total number of stops.
def r1(pto_engaged_stops: float, total_stops: float) -> bool:
    return pto_engaged_stops <= total_stops

# The load carried by axle 1 must be smaller than or equal to the load on axle 3.
def r2(axle1_load: float, axle3_load: float) -> bool:
    return axle1_load <= axle3_load


def r3(arg1: float, arg2: float, arg3: float, arg4: float):
    return not(r1(arg1, arg2) and r2(arg3, arg4)), r1(arg1, arg2), r2(arg3, arg4)";Correct syntax;['True, True, False', 'False, True, True', 'True, False, True'];['True, True, False', 'False, True, True', 'True, False, True']
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10


Input text:
Textual context: Axle 2's load must always be equal to or greater than the payload.";Axle 2's load must always be equal to or greater than the payload.;1;[['axle 2 load', 'payload']];Gemma3;"# Axle 2's load must always be equal to or greater than the payload.
def r1(load: float, payload: float) -> bool:
    return load >= payload


def r2(arg1: float, arg2: float):
    return not(r1(arg1, arg2)), r1(arg1, arg2)";Correct syntax;['True, False', 'False, True', 'False, True'];['True, False', 'False, True', 'False, True']
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10


Input text:
Textual context: The load on axle 1 must not surpass the load on axle 2.
The weight on axle 1 cannot surpass the weight on axle 3.";"The load on axle 1 must not surpass the load on axle 2.
The weight on axle 1 cannot surpass the weight on axle 3.";2;[['axle 1 load', 'axle 2 load'], ['axle 1 load', 'axle 3 load']];Gemma3;"# The load on axle 1 must not surpass the load on axle 2.
def r1(x1: float, x2: float) -> bool:
    return x1 <= x2

# The weight on axle 1 cannot surpass the weight on axle 3.
def r2(x1: float, x3: float) -> bool:
    return x1 <= x3


def r3(arg1: float, arg2: float, arg3: float, arg4: float):
    return not(r1(arg1, arg2) and r2(arg3, arg4)), r1(arg1, arg2), r2(arg3, arg4)";Correct syntax;['True, False, False', 'False, True, True', 'False, True, True'];['True, False, False', 'False, True, True', 'False, True, True']
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10


Input text:
Textual context: Idle time cannot be greater than the total operation time.
Driving time should be less than or equal to the total operation time.";"Idle time cannot be greater than the total operation time.
Driving time should be less than or equal to the total operation time.";2;[['idle time', 'total operation time'], ['driving time', 'total operation time']];Gemma3;"# Idle time cannot be greater than the total operation time.
def r1(idle_time: float, total_operation_time: float) -> bool:
    return idle_time <= total_operation_time

# Driving time should be less than or equal to the total operation time.
def r2(driving_time: float, total_operation_time: float) -> bool:
    return driving_time <= total_operation_time


def r3(arg1: float, arg2: float, arg3: float, arg4: float):
    return not(r1(arg1, arg2) and r2(arg3, arg4)), r1(arg1, arg2), r2(arg3, arg4)";Correct syntax;['False, True, True', 'False, True, True', 'True, False, False'];['False, True, True', 'False, True, True', 'True, False, False']
